,id,weight,height,date,arrays
0,900,62.09956462362609,170.31315689940044,2022-02-01,"[range(0, 100)]"
1,254,76.19672392599749,180.2118525814151,2022-02-02,"[range(0, 100)]"
2,552,86.97286716530745,155.12394021069653,2022-02-03,"[range(0, 100)]"
3,758,28.333117693644347,186.59379579966622,2022-02-04,"[range(0, 100)]"
4,762,60.57113346374881,154.58537659798415,2022-02-05,"[range(0, 100)]"
5,220,78.80635771980077,164.1144714230178,2022-02-06,"[range(0, 100)]"
6,301,92.30622015435958,190.18073568516215,2022-02-07,"[range(0, 100)]"
7,965,92.36871205892109,181.70445273575064,2022-02-08,"[range(0, 100)]"
8,708,47.97105849321604,177.62145016578745,2022-02-09,"[range(0, 100)]"
9,978,66.31064672058237,176.35370433441022,2022-02-10,"[range(0, 100)]"
10,773,77.56230602492555,166.69242947198993,2022-02-11,"[range(0, 100)]"
11,602,116.53020179930287,183.65775203072155,2022-02-12,"[range(0, 100)]"
12,145,76.24517594146666,175.94579879559475,2022-02-13,"[range(0, 100)]"
13,695,57.327054452983745,160.05349601955947,2022-02-14,"[range(0, 100)]"
14,486,77.57425649032778,167.2433937586586,2022-02-15,"[range(0, 100)]"
15,483,90.25116741589105,153.0364782792538,2022-02-16,"[range(0, 100)]"
16,328,99.63049601237219,162.86096250042138,2022-02-17,"[range(0, 100)]"
17,202,87.66505926098438,169.7570028481713,2022-02-18,"[range(0, 100)]"
18,111,77.0166210560646,155.8860644235458,2022-02-19,"[range(0, 100)]"
19,734,62.816146926109525,168.09257306305153,2022-02-20,"[range(0, 100)]"
20,691,80.2272641784495,182.85649091000644,2022-02-21,"[range(0, 100)]"
21,490,57.85628797411783,152.9590475707221,2022-02-22,"[range(0, 100)]"
22,421,59.71923048409043,154.94234760905505,2022-02-23,"[range(0, 100)]"
23,280,70.67250540995205,164.83236674297333,2022-02-24,"[range(0, 100)]"
24,450,94.33405912476019,141.27310180519692,2022-02-25,"[range(0, 100)]"
25,650,65.69689632164173,171.84702932148664,2022-02-26,"[range(0, 100)]"
26,102,100.05291100897743,182.3942911137277,2022-02-27,"[range(0, 100)]"
27,147,52.00925989259438,148.78542039704865,2022-02-28,"[range(0, 100)]"
28,656,55.17271354330657,167.7784815014916,2022-03-01,"[range(0, 100)]"
29,316,102.72457624813796,170.08044694497414,2022-03-02,"[range(0, 100)]"
30,726,91.80649081507396,178.91222532500012,2022-03-03,"[range(0, 100)]"
31,841,96.63710678511725,175.71147304158873,2022-03-04,"[range(0, 100)]"
32,514,97.2026439429765,175.07461077488443,2022-03-05,"[range(0, 100)]"
33,268,87.30635275990909,170.9459485478327,2022-03-06,"[range(0, 100)]"
34,194,82.09524822540807,169.9345574593099,2022-03-07,"[range(0, 100)]"
35,189,72.01478266096474,154.06406843583108,2022-03-08,"[range(0, 100)]"
36,987,83.00371145370137,170.2932054830448,2022-03-09,"[range(0, 100)]"
37,769,89.88674874527106,162.60652899584855,2022-03-10,"[range(0, 100)]"
38,444,29.241469471435906,188.85657848580158,2022-03-11,"[range(0, 100)]"
39,917,47.50055922420647,185.4089935642043,2022-03-12,"[range(0, 100)]"
40,306,92.98838791472656,167.72740026964718,2022-03-13,"[range(0, 100)]"
41,340,39.8482718233526,186.71098453585086,2022-03-14,"[range(0, 100)]"
42,450,76.0144266800206,172.27301683416354,2022-03-15,"[range(0, 100)]"
43,705,51.560044340950306,211.3912936172324,2022-03-16,"[range(0, 100)]"
44,335,56.74153473814342,191.2667713120983,2022-03-17,"[range(0, 100)]"
45,248,56.25278858616387,158.47825855482543,2022-03-18,"[range(0, 100)]"
46,842,51.87046753547439,146.40566506952482,2022-03-19,"[range(0, 100)]"
47,584,36.21808704762154,183.8033794347798,2022-03-20,"[range(0, 100)]"
48,298,66.71452206397117,183.58936198329835,2022-03-21,"[range(0, 100)]"
49,166,61.11934203206023,174.50088216218438,2022-03-22,"[range(0, 100)]"
50,635,65.00869456317498,170.2975386472797,2022-03-23,"[range(0, 100)]"
51,220,85.46286318439763,177.64082826968013,2022-03-24,"[range(0, 100)]"
52,396,117.72268627193833,176.64048073822406,2022-03-25,"[range(0, 100)]"
53,284,48.4869743696958,156.76238771314894,2022-03-26,"[range(0, 100)]"
54,477,63.630112101093495,158.00591310362339,2022-03-27,"[range(0, 100)]"
55,974,81.58781550635041,161.05963126655385,2022-03-28,"[range(0, 100)]"
56,568,71.27741460473509,155.44646520978347,2022-03-29,"[range(0, 100)]"
57,579,56.9194924086333,168.00007284309297,2022-03-30,"[range(0, 100)]"
58,596,21.59581277716255,162.6464043586704,2022-03-31,"[range(0, 100)]"
59,851,101.94954902886899,188.7050185583354,2022-04-01,"[range(0, 100)]"
60,648,60.59353517167317,179.4653061541697,2022-04-02,"[range(0, 100)]"
61,813,79.89255349277796,190.68479589747554,2022-04-03,"[range(0, 100)]"
62,124,89.77748210230081,170.58762487202725,2022-04-04,"[range(0, 100)]"
63,525,74.48848320388646,154.20626501980084,2022-04-05,"[range(0, 100)]"
64,177,63.11352760602749,155.97292970311565,2022-04-06,"[range(0, 100)]"
65,553,50.340047695372505,166.50996249738833,2022-04-07,"[range(0, 100)]"
66,716,52.4892990382979,167.6866803446958,2022-04-08,"[range(0, 100)]"
67,980,78.37093272742993,176.56280214769978,2022-04-09,"[range(0, 100)]"
68,948,69.88496027699738,165.2517956865879,2022-04-10,"[range(0, 100)]"
69,408,90.64187539883153,164.90319088384342,2022-04-11,"[range(0, 100)]"
70,983,83.45822375362327,138.60291986788573,2022-04-12,"[range(0, 100)]"
71,175,84.79356414246516,198.46927763198886,2022-04-13,"[range(0, 100)]"
72,974,63.24853033596139,157.97390178733258,2022-04-14,"[range(0, 100)]"
73,874,68.99743284459907,175.8557577951186,2022-04-15,"[range(0, 100)]"
74,790,60.80531140314522,175.51953378293777,2022-04-16,"[range(0, 100)]"
75,976,84.68487322232062,168.81590594705983,2022-04-17,"[range(0, 100)]"
76,241,90.75353911265766,144.90831432009927,2022-04-18,"[range(0, 100)]"
77,245,55.99582195663682,160.24574833907081,2022-04-19,"[range(0, 100)]"
78,743,67.34176853956036,153.46991863935986,2022-04-20,"[range(0, 100)]"
79,890,94.11259693534709,148.5950056182108,2022-04-21,"[range(0, 100)]"
80,564,59.223860721596445,185.85773791540268,2022-04-22,"[range(0, 100)]"
81,358,103.42955104171726,156.63585168695334,2022-04-23,"[range(0, 100)]"
82,793,51.41306217009922,190.9651027335225,2022-04-24,"[range(0, 100)]"
83,147,56.21251098616951,155.2557344854311,2022-04-25,"[range(0, 100)]"
84,856,83.12543487350273,173.01989702529144,2022-04-26,"[range(0, 100)]"
85,946,101.17082318800762,186.01643499050786,2022-04-27,"[range(0, 100)]"
86,758,63.28759155915884,174.19175902373374,2022-04-28,"[range(0, 100)]"
87,979,67.53519442789552,178.24361802374034,2022-04-29,"[range(0, 100)]"
88,884,59.262706247395364,175.25386471221026,2022-04-30,"[range(0, 100)]"
89,927,29.300053173402233,153.35402170038833,2022-05-01,"[range(0, 100)]"
90,130,72.58480213117838,170.65992753544143,2022-05-02,"[range(0, 100)]"
91,338,47.80586973510294,138.65176828306198,2022-05-03,"[range(0, 100)]"
92,126,76.99780844744045,176.71901111994484,2022-05-04,"[range(0, 100)]"
93,905,44.39697474710799,169.58037515973464,2022-05-05,"[range(0, 100)]"
94,404,61.34659157419772,191.49043982825725,2022-05-06,"[range(0, 100)]"
95,867,72.71970164728039,168.68469303694525,2022-05-07,"[range(0, 100)]"
96,265,56.10952793552266,188.1995902094149,2022-05-08,"[range(0, 100)]"
97,741,71.51045396308774,140.23505517391425,2022-05-09,"[range(0, 100)]"
98,762,77.76686768346057,192.3475192765767,2022-05-10,"[range(0, 100)]"
99,559,61.51255680997208,151.99031303815738,2022-05-11,"[range(0, 100)]"
100,615,75.79605596363189,154.76651130502623,2022-05-12,"[range(0, 100)]"
101,309,54.27663523285037,184.01792463104712,2022-05-13,"[range(0, 100)]"
102,419,61.621210635276896,151.7759559769514,2022-05-14,"[range(0, 100)]"
103,226,84.84131206356511,177.95479204983872,2022-05-15,"[range(0, 100)]"
104,171,86.15701195146943,175.84631450806216,2022-05-16,"[range(0, 100)]"
105,741,81.06703198734883,141.0067590446643,2022-05-17,"[range(0, 100)]"
106,972,64.90365989433471,153.26545587369725,2022-05-18,"[range(0, 100)]"
107,725,68.68512750437333,146.44533427025448,2022-05-19,"[range(0, 100)]"
108,302,69.87515068774404,161.44599689704293,2022-05-20,"[range(0, 100)]"
109,910,92.07845222189607,140.59189362279986,2022-05-21,"[range(0, 100)]"
110,861,65.98481240538993,181.73553544413227,2022-05-22,"[range(0, 100)]"
111,347,51.52434512567592,192.33583285317278,2022-05-23,"[range(0, 100)]"
112,751,53.939737736577996,179.09061448714047,2022-05-24,"[range(0, 100)]"
113,326,65.20819738477095,167.65252812706484,2022-05-25,"[range(0, 100)]"
114,745,100.49239794407129,156.02829401597435,2022-05-26,"[range(0, 100)]"
115,856,41.27104313403089,186.72990934176977,2022-05-27,"[range(0, 100)]"
116,518,101.86269819057893,181.94891061690154,2022-05-28,"[range(0, 100)]"
117,658,75.06767022691749,160.56562825780225,2022-05-29,"[range(0, 100)]"
118,297,73.90278735415376,182.82821071227485,2022-05-30,"[range(0, 100)]"
119,760,70.42198180306528,175.8627603159443,2022-05-31,"[range(0, 100)]"
120,467,57.93513324674879,179.6224850788677,2022-06-01,"[range(0, 100)]"
121,203,106.11072680287992,192.02949220061103,2022-06-02,"[range(0, 100)]"
122,374,79.38649651419675,158.38438320380683,2022-06-03,"[range(0, 100)]"
123,202,75.2741782160832,175.2995056926179,2022-06-04,"[range(0, 100)]"
124,947,97.15277114019705,152.23743605015974,2022-06-05,"[range(0, 100)]"
125,568,66.02241890478375,167.0877149905055,2022-06-06,"[range(0, 100)]"
126,308,99.88956593229523,188.9344274840676,2022-06-07,"[range(0, 100)]"
127,408,70.26428738385034,176.10754188320385,2022-06-08,"[range(0, 100)]"
128,829,106.06459126845692,169.333025657798,2022-06-09,"[range(0, 100)]"
129,600,72.7033056449553,167.73600033165658,2022-06-10,"[range(0, 100)]"
130,727,99.67972725141136,167.42249964673817,2022-06-11,"[range(0, 100)]"
131,799,79.0766010485785,156.47578655185987,2022-06-12,"[range(0, 100)]"
132,260,34.466051911252436,187.45521905542296,2022-06-13,"[range(0, 100)]"
133,463,62.16988690149381,194.2978179901327,2022-06-14,"[range(0, 100)]"
134,357,104.75453233510842,166.61295332426818,2022-06-15,"[range(0, 100)]"
135,742,48.299555932861324,181.60947713737363,2022-06-16,"[range(0, 100)]"
136,930,46.64372640679579,181.06710655709753,2022-06-17,"[range(0, 100)]"
137,719,89.9662409870427,153.7273335701794,2022-06-18,"[range(0, 100)]"
138,464,95.10592530428568,189.36814936646167,2022-06-19,"[range(0, 100)]"
139,398,69.63673381803957,159.7425482692303,2022-06-20,"[range(0, 100)]"
140,543,76.73223033967166,169.6697100122383,2022-06-21,"[range(0, 100)]"
141,943,60.2717612944884,169.62883980255756,2022-06-22,"[range(0, 100)]"
142,981,66.0430653112241,166.4787334020539,2022-06-23,"[range(0, 100)]"
143,862,88.37710072010874,200.02628131101895,2022-06-24,"[range(0, 100)]"
144,872,50.628823884101195,185.99436593404062,2022-06-25,"[range(0, 100)]"
145,503,44.313987658111884,181.44217754945862,2022-06-26,"[range(0, 100)]"
146,192,42.377437392351275,172.73046982382152,2022-06-27,"[range(0, 100)]"
147,828,114.92977240130783,171.19124984592813,2022-06-28,"[range(0, 100)]"
148,452,59.979727004661854,177.03718733760297,2022-06-29,"[range(0, 100)]"
149,905,44.30378620031073,201.09118961976523,2022-06-30,"[range(0, 100)]"
150,255,77.17644830531741,148.5142896955777,2022-07-01,"[range(0, 100)]"
151,135,74.20113840749804,160.51486564018967,2022-07-02,"[range(0, 100)]"
152,456,63.38902150056446,150.43615643473896,2022-07-03,"[range(0, 100)]"
153,839,78.71280376348173,169.73726963721006,2022-07-04,"[range(0, 100)]"
154,607,87.86230354504,167.84063807582032,2022-07-05,"[range(0, 100)]"
155,525,55.65922806242962,166.43242888363434,2022-07-06,"[range(0, 100)]"
156,324,44.30165312132986,170.68436179689974,2022-07-07,"[range(0, 100)]"
157,827,55.266337913375814,172.0875449490278,2022-07-08,"[range(0, 100)]"
158,539,92.41592180723005,189.29825973471185,2022-07-09,"[range(0, 100)]"
159,759,79.93700774959295,174.6781215544145,2022-07-10,"[range(0, 100)]"
160,782,58.3118255799593,160.1508804030692,2022-07-11,"[range(0, 100)]"
161,805,57.37558891269894,184.416242568484,2022-07-12,"[range(0, 100)]"
